idiom_token,label,num_of_examples,total,idiomaticity_ratio,degree_of_idiomaticity,ccnews_rarity,morphology_type
IDtakethefallID,idiom,1,7,0.14285714285714285,highly_literal,ccnews_moderately_rare,moderate_morphology
IDtakethefallID,literal,6,7,0.8571428571428571,highly_literal,ccnews_moderately_rare,moderate_morphology
IDneitherherenorthereID,idiom,52,52,1.0,highly_idiomatic,ccnews_moderately_rare,no_morphology
IDneitherherenorthereID,literal,0,52,0.0,highly_idiomatic,ccnews_moderately_rare,no_morphology
IDwastenotwantnotID,idiom,1,1,1.0,highly_idiomatic,ccnews_very_rare,no_morphology
IDwastenotwantnotID,literal,0,1,0.0,highly_idiomatic,ccnews_very_rare,no_morphology
IDrhymeorreasonID,idiom,4,4,1.0,highly_idiomatic,ccnews_moderately_rare,no_morphology
IDrhymeorreasonID,literal,0,4,0.0,highly_idiomatic,ccnews_moderately_rare,no_morphology
IDrunintothesandID,idiom,4,4,1.0,highly_idiomatic,ccnews_very_rare,moderate_morphology
IDrunintothesandID,literal,0,4,0.0,highly_idiomatic,ccnews_very_rare,moderate_morphology
IDcatchthesunID,idiom,22,23,0.9565217391304348,highly_idiomatic,ccnews_moderately_rare,moderate_morphology
IDcatchthesunID,literal,1,23,0.043478260869565216,highly_idiomatic,ccnews_moderately_rare,moderate_morphology
IDneveryoumindID,idiom,10,10,1.0,highly_idiomatic,ccnews_very_rare,no_morphology
IDneveryoumindID,literal,0,10,0.0,highly_idiomatic,ccnews_very_rare,no_morphology
IDbetterlatethanneverID,idiom,8,8,1.0,highly_idiomatic,ccnews_very_rare,no_morphology
IDbetterlatethanneverID,literal,0,8,0.0,highly_idiomatic,ccnews_very_rare,no_morphology
IDtakethegiltoffthegingerbreadID,idiom,2,2,1.0,highly_idiomatic,ccnews_very_rare,moderate_morphology
IDtakethegiltoffthegingerbreadID,literal,0,2,0.0,highly_idiomatic,ccnews_very_rare,moderate_morphology
IDmeanbusinessID,idiom,38,45,0.8444444444444444,highly_idiomatic,ccnews_frequent,high_morphology
IDmeanbusinessID,literal,7,45,0.15555555555555556,highly_idiomatic,ccnews_frequent,high_morphology
IDjockeyforpositionID,idiom,16,16,1.0,highly_idiomatic,ccnews_moderately_rare,no_morphology
IDjockeyforpositionID,literal,0,16,0.0,highly_idiomatic,ccnews_moderately_rare,no_morphology
IDnotonyourlifeID,idiom,12,12,1.0,highly_idiomatic,ccnews_very_rare,no_morphology
IDnotonyourlifeID,literal,0,12,0.0,highly_idiomatic,ccnews_very_rare,no_morphology
IDtakeabowID,idiom,18,25,0.72,ambiguous,ccnews_moderately_rare,high_morphology
IDtakeabowID,literal,7,25,0.28,ambiguous,ccnews_moderately_rare,high_morphology
IDtherestishistoryID,idiom,22,23,0.9565217391304348,highly_idiomatic,ccnews_very_rare,moderate_morphology
IDtherestishistoryID,literal,1,23,0.043478260869565216,highly_idiomatic,ccnews_very_rare,moderate_morphology
IDdosomeonesheadinID,idiom,15,15,1.0,highly_idiomatic,ccnews_very_rare,moderate_morphology
IDdosomeonesheadinID,literal,0,15,0.0,highly_idiomatic,ccnews_very_rare,moderate_morphology
IDhitthegroundrunningID,idiom,3,3,1.0,highly_idiomatic,ccnews_frequent,no_morphology
IDhitthegroundrunningID,literal,0,3,0.0,highly_idiomatic,ccnews_frequent,no_morphology
IDcutarugID,idiom,3,3,1.0,highly_idiomatic,ccnews_moderately_rare,moderate_morphology
IDcutarugID,literal,0,3,0.0,highly_idiomatic,ccnews_moderately_rare,moderate_morphology
IDflyoffthehandleID,idiom,7,8,0.875,highly_idiomatic,ccnews_very_rare,moderate_morphology
IDflyoffthehandleID,literal,1,8,0.125,highly_idiomatic,ccnews_very_rare,moderate_morphology
IDmeetsomeonehalfwayID,idiom,10,10,1.0,highly_idiomatic,ccnews_very_rare,moderate_morphology
IDmeetsomeonehalfwayID,literal,0,10,0.0,highly_idiomatic,ccnews_very_rare,moderate_morphology
IDturntheothercheekID,idiom,12,12,1.0,highly_idiomatic,ccnews_moderately_rare,moderate_morphology
IDturntheothercheekID,literal,0,12,0.0,highly_idiomatic,ccnews_moderately_rare,moderate_morphology
IDmakeapitchID,idiom,9,11,0.8181818181818182,highly_idiomatic,ccnews_moderately_rare,moderate_morphology
IDmakeapitchID,literal,2,11,0.18181818181818182,highly_idiomatic,ccnews_moderately_rare,moderate_morphology
IDslipthroughthenetID,idiom,33,35,0.9428571428571428,highly_idiomatic,ccnews_moderately_rare,moderate_morphology
IDslipthroughthenetID,literal,2,35,0.05714285714285714,highly_idiomatic,ccnews_moderately_rare,moderate_morphology
IDdrawtheshortstrawID,idiom,11,11,1.0,highly_idiomatic,ccnews_very_rare,moderate_morphology
IDdrawtheshortstrawID,literal,0,11,0.0,highly_idiomatic,ccnews_very_rare,moderate_morphology
IDputuporshutupID,idiom,8,8,1.0,highly_idiomatic,ccnews_moderately_rare,no_morphology
IDputuporshutupID,literal,0,8,0.0,highly_idiomatic,ccnews_moderately_rare,no_morphology
IDeasyasfallingoffalogID,idiom,2,2,1.0,highly_idiomatic,ccnews_very_rare,no_morphology
IDeasyasfallingoffalogID,literal,0,2,0.0,highly_idiomatic,ccnews_very_rare,no_morphology
IDdropabrickID,idiom,3,6,0.5,ambiguous,ccnews_very_rare,high_morphology
IDdropabrickID,literal,3,6,0.5,ambiguous,ccnews_very_rare,high_morphology
IDlikeclockworkID,idiom,16,16,1.0,highly_idiomatic,ccnews_frequent,no_morphology
IDlikeclockworkID,literal,0,16,0.0,highly_idiomatic,ccnews_frequent,no_morphology
IDintheoffingID,idiom,53,53,1.0,highly_idiomatic,ccnews_frequent,moderate_morphology
IDintheoffingID,literal,0,53,0.0,highly_idiomatic,ccnews_frequent,moderate_morphology
IDbydintofID,idiom,50,50,1.0,highly_idiomatic,ccnews_moderately_rare,no_morphology
IDbydintofID,literal,0,50,0.0,highly_idiomatic,ccnews_moderately_rare,no_morphology
IDoutofsightID,idiom,8,104,0.07692307692307693,highly_literal,ccnews_frequent,moderate_morphology
IDoutofsightID,literal,96,104,0.9230769230769231,highly_literal,ccnews_frequent,moderate_morphology
IDmakeacleanbreakID,idiom,19,19,1.0,highly_idiomatic,ccnews_moderately_rare,moderate_morphology
IDmakeacleanbreakID,literal,0,19,0.0,highly_idiomatic,ccnews_moderately_rare,moderate_morphology
IDonyourhighhorseID,idiom,2,2,1.0,highly_idiomatic,ccnews_very_rare,moderate_morphology
IDonyourhighhorseID,literal,0,2,0.0,highly_idiomatic,ccnews_very_rare,moderate_morphology
IDmisstheboatID,idiom,15,17,0.8823529411764706,highly_idiomatic,ccnews_moderately_rare,moderate_morphology
IDmisstheboatID,literal,2,17,0.11764705882352941,highly_idiomatic,ccnews_moderately_rare,moderate_morphology
IDallhellbrokelooseID,idiom,20,20,1.0,highly_idiomatic,ccnews_moderately_rare,moderate_morphology
IDallhellbrokelooseID,literal,0,20,0.0,highly_idiomatic,ccnews_moderately_rare,moderate_morphology
IDtemptfateID,idiom,10,10,1.0,highly_idiomatic,ccnews_moderately_rare,no_morphology
IDtemptfateID,literal,0,10,0.0,highly_idiomatic,ccnews_moderately_rare,no_morphology
IDdropsomeonealineID,idiom,21,21,1.0,highly_idiomatic,ccnews_very_rare,moderate_morphology
IDdropsomeonealineID,literal,0,21,0.0,highly_idiomatic,ccnews_very_rare,moderate_morphology
IDbloodisthickerthanwaterID,idiom,8,8,1.0,highly_idiomatic,ccnews_very_rare,moderate_morphology
IDbloodisthickerthanwaterID,literal,0,8,0.0,highly_idiomatic,ccnews_very_rare,moderate_morphology
IDcapinhandID,idiom,29,30,0.9666666666666667,highly_idiomatic,ccnews_moderately_rare,moderate_morphology
IDcapinhandID,literal,1,30,0.03333333333333333,highly_idiomatic,ccnews_moderately_rare,moderate_morphology
IDallovertheshowID,idiom,2,2,1.0,highly_idiomatic,ccnews_moderately_rare,no_morphology
IDallovertheshowID,literal,0,2,0.0,highly_idiomatic,ccnews_moderately_rare,no_morphology
IDalldressedupandnowheretogoID,idiom,1,1,1.0,highly_idiomatic,ccnews_moderately_rare,no_morphology
IDalldressedupandnowheretogoID,literal,0,1,0.0,highly_idiomatic,ccnews_moderately_rare,no_morphology
IDbeltandbracesID,idiom,12,12,1.0,highly_idiomatic,ccnews_very_rare,no_morphology
IDbeltandbracesID,literal,0,12,0.0,highly_idiomatic,ccnews_very_rare,no_morphology
IDchapterandverseID,idiom,20,31,0.6451612903225806,ambiguous,ccnews_moderately_rare,moderate_morphology
IDchapterandverseID,literal,11,31,0.3548387096774194,ambiguous,ccnews_moderately_rare,moderate_morphology
IDnottobesneezedatID,idiom,3,3,1.0,highly_idiomatic,ccnews_very_rare,no_morphology
IDnottobesneezedatID,literal,0,3,0.0,highly_idiomatic,ccnews_very_rare,no_morphology
IDmakeavirtueofnecessityID,idiom,4,4,1.0,highly_idiomatic,ccnews_very_rare,moderate_morphology
IDmakeavirtueofnecessityID,literal,0,4,0.0,highly_idiomatic,ccnews_very_rare,moderate_morphology
IDcallsomeonesbluffID,idiom,40,40,1.0,highly_idiomatic,ccnews_very_rare,moderate_morphology
IDcallsomeonesbluffID,literal,0,40,0.0,highly_idiomatic,ccnews_very_rare,moderate_morphology
IDthrowthebabyoutwiththebathwaterID,idiom,5,5,1.0,highly_idiomatic,ccnews_very_rare,moderate_morphology
IDthrowthebabyoutwiththebathwaterID,literal,0,5,0.0,highly_idiomatic,ccnews_very_rare,moderate_morphology
IDdeadasadoornailID,idiom,3,3,1.0,highly_idiomatic,ccnews_very_rare,moderate_morphology
IDdeadasadoornailID,literal,0,3,0.0,highly_idiomatic,ccnews_very_rare,moderate_morphology
IDthirdtimeluckyID,idiom,21,21,1.0,highly_idiomatic,ccnews_very_rare,no_morphology
IDthirdtimeluckyID,literal,0,21,0.0,highly_idiomatic,ccnews_very_rare,no_morphology
IDinspadesID,idiom,11,13,0.8461538461538461,highly_idiomatic,ccnews_frequent,moderate_morphology
IDinspadesID,literal,2,13,0.15384615384615385,highly_idiomatic,ccnews_frequent,moderate_morphology
IDeverymanjackID,idiom,3,3,1.0,highly_idiomatic,ccnews_very_rare,no_morphology
IDeverymanjackID,literal,0,3,0.0,highly_idiomatic,ccnews_very_rare,no_morphology
IDseparatethewheatfromthechaffID,idiom,2,3,0.6666666666666666,ambiguous,ccnews_moderately_rare,moderate_morphology
IDseparatethewheatfromthechaffID,literal,1,3,0.3333333333333333,ambiguous,ccnews_moderately_rare,moderate_morphology
IDupthespoutID,idiom,6,9,0.6666666666666666,ambiguous,ccnews_very_rare,no_morphology
IDupthespoutID,literal,3,9,0.3333333333333333,ambiguous,ccnews_very_rare,no_morphology
IDplanbID,idiom,3,3,1.0,highly_idiomatic,ccnews_frequent,no_morphology
IDplanbID,literal,0,3,0.0,highly_idiomatic,ccnews_frequent,no_morphology
IDbuythefarmID,idiom,0,25,0.0,highly_literal,ccnews_very_rare,high_morphology
IDbuythefarmID,literal,25,25,1.0,highly_literal,ccnews_very_rare,high_morphology
IDtakeaflyerID,idiom,2,2,1.0,highly_idiomatic,ccnews_moderately_rare,moderate_morphology
IDtakeaflyerID,literal,0,2,0.0,highly_idiomatic,ccnews_moderately_rare,moderate_morphology
IDbitsandbobsID,idiom,44,44,1.0,highly_idiomatic,ccnews_very_rare,moderate_morphology
IDbitsandbobsID,literal,0,44,0.0,highly_idiomatic,ccnews_very_rare,moderate_morphology
IDstrikewhiletheironishotID,idiom,2,3,0.6666666666666666,ambiguous,ccnews_moderately_rare,moderate_morphology
IDstrikewhiletheironishotID,literal,1,3,0.3333333333333333,ambiguous,ccnews_moderately_rare,moderate_morphology
IDmendfencesID,idiom,14,17,0.8235294117647058,highly_idiomatic,ccnews_moderately_rare,moderate_morphology
IDmendfencesID,literal,3,17,0.17647058823529413,highly_idiomatic,ccnews_moderately_rare,moderate_morphology
IDrackyourbrainID,idiom,1,1,1.0,highly_idiomatic,ccnews_very_rare,moderate_morphology
IDrackyourbrainID,literal,0,1,0.0,highly_idiomatic,ccnews_very_rare,moderate_morphology
IDonthebackofID,idiom,26,140,0.18571428571428572,highly_literal,ccnews_frequent,moderate_morphology
IDonthebackofID,literal,114,140,0.8142857142857143,highly_literal,ccnews_frequent,moderate_morphology
IDtopdollarID,idiom,2,2,1.0,highly_idiomatic,ccnews_frequent,no_morphology
IDtopdollarID,literal,0,2,0.0,highly_idiomatic,ccnews_frequent,no_morphology
IDnorestforthewickedID,idiom,3,3,1.0,highly_idiomatic,ccnews_moderately_rare,no_morphology
IDnorestforthewickedID,literal,0,3,0.0,highly_idiomatic,ccnews_moderately_rare,no_morphology
IDinthedockID,idiom,39,106,0.36792452830188677,ambiguous,ccnews_frequent,high_morphology
IDinthedockID,literal,67,106,0.6320754716981132,ambiguous,ccnews_frequent,high_morphology
IDcoginthemachineID,idiom,6,6,1.0,highly_idiomatic,ccnews_very_rare,moderate_morphology
IDcoginthemachineID,literal,0,6,0.0,highly_idiomatic,ccnews_very_rare,moderate_morphology
IDonthelamID,idiom,2,2,1.0,highly_idiomatic,ccnews_moderately_rare,no_morphology
IDonthelamID,literal,0,2,0.0,highly_idiomatic,ccnews_moderately_rare,no_morphology
IDinnouncertaintermsID,idiom,49,49,1.0,highly_idiomatic,ccnews_frequent,no_morphology
IDinnouncertaintermsID,literal,0,49,0.0,highly_idiomatic,ccnews_frequent,no_morphology
IDupsettheapplecartID,idiom,9,9,1.0,highly_idiomatic,ccnews_moderately_rare,moderate_morphology
IDupsettheapplecartID,literal,0,9,0.0,highly_idiomatic,ccnews_moderately_rare,moderate_morphology
IDgraspatstrawsID,idiom,5,5,1.0,highly_idiomatic,ccnews_very_rare,no_morphology
IDgraspatstrawsID,literal,0,5,0.0,highly_idiomatic,ccnews_very_rare,no_morphology
IDgreasethewheelsID,idiom,5,5,1.0,highly_idiomatic,ccnews_very_rare,moderate_morphology
IDgreasethewheelsID,literal,0,5,0.0,highly_idiomatic,ccnews_very_rare,moderate_morphology
IDsilenceisgoldenID,idiom,4,4,1.0,highly_idiomatic,ccnews_moderately_rare,moderate_morphology
IDsilenceisgoldenID,literal,0,4,0.0,highly_idiomatic,ccnews_moderately_rare,moderate_morphology
IDgetitintheneckID,idiom,7,7,1.0,highly_idiomatic,ccnews_very_rare,moderate_morphology
IDgetitintheneckID,literal,0,7,0.0,highly_idiomatic,ccnews_very_rare,moderate_morphology
IDjumpshipID,idiom,5,5,1.0,highly_idiomatic,ccnews_moderately_rare,moderate_morphology
IDjumpshipID,literal,0,5,0.0,highly_idiomatic,ccnews_moderately_rare,moderate_morphology
IDgetwindofID,idiom,33,33,1.0,highly_idiomatic,ccnews_moderately_rare,moderate_morphology
IDgetwindofID,literal,0,33,0.0,highly_idiomatic,ccnews_moderately_rare,moderate_morphology
IDfullspeedaheadID,idiom,4,4,1.0,highly_idiomatic,ccnews_frequent,no_morphology
IDfullspeedaheadID,literal,0,4,0.0,highly_idiomatic,ccnews_frequent,no_morphology
IDcharitybeginsathomeID,idiom,8,8,1.0,highly_idiomatic,ccnews_very_rare,moderate_morphology
IDcharitybeginsathomeID,literal,0,8,0.0,highly_idiomatic,ccnews_very_rare,moderate_morphology
IDsavesomeonesbaconID,idiom,11,11,1.0,highly_idiomatic,ccnews_very_rare,moderate_morphology
IDsavesomeonesbaconID,literal,0,11,0.0,highly_idiomatic,ccnews_very_rare,moderate_morphology
IDgivesomeonetherunaroundID,idiom,2,2,1.0,highly_idiomatic,ccnews_very_rare,moderate_morphology
IDgivesomeonetherunaroundID,literal,0,2,0.0,highly_idiomatic,ccnews_very_rare,moderate_morphology
IDnightanddayID,idiom,42,68,0.6176470588235294,ambiguous,ccnews_very_rare,high_morphology
IDnightanddayID,literal,26,68,0.38235294117647056,ambiguous,ccnews_very_rare,high_morphology
IDittakestwototangoID,idiom,3,3,1.0,highly_idiomatic,ccnews_moderately_rare,no_morphology
IDittakestwototangoID,literal,0,3,0.0,highly_idiomatic,ccnews_moderately_rare,no_morphology
IDeasyaspieID,idiom,3,3,1.0,highly_idiomatic,ccnews_very_rare,moderate_morphology
IDeasyaspieID,literal,0,3,0.0,highly_idiomatic,ccnews_very_rare,moderate_morphology
IDtakesomeoneforarideID,idiom,19,32,0.59375,ambiguous,ccnews_very_rare,moderate_morphology
IDtakesomeoneforarideID,literal,13,32,0.40625,ambiguous,ccnews_very_rare,moderate_morphology
IDbythebyID,idiom,17,17,1.0,highly_idiomatic,ccnews_moderately_rare,no_morphology
IDbythebyID,literal,0,17,0.0,highly_idiomatic,ccnews_moderately_rare,no_morphology
IDmeetyourmakerID,idiom,1,1,1.0,highly_idiomatic,ccnews_moderately_rare,no_morphology
IDmeetyourmakerID,literal,0,1,0.0,highly_idiomatic,ccnews_moderately_rare,no_morphology
IDfallonstonygroundID,idiom,8,9,0.8888888888888888,highly_idiomatic,ccnews_very_rare,moderate_morphology
IDfallonstonygroundID,literal,1,9,0.1111111111111111,highly_idiomatic,ccnews_very_rare,moderate_morphology
IDtriedandtrueID,idiom,7,7,1.0,highly_idiomatic,ccnews_frequent,no_morphology
IDtriedandtrueID,literal,0,7,0.0,highly_idiomatic,ccnews_frequent,no_morphology
IDfoamatthemouthID,idiom,12,16,0.75,ambiguous,ccnews_moderately_rare,moderate_morphology
IDfoamatthemouthID,literal,4,16,0.25,ambiguous,ccnews_moderately_rare,moderate_morphology
IDtakesomeoneswordforitID,idiom,58,58,1.0,highly_idiomatic,ccnews_very_rare,moderate_morphology
IDtakesomeoneswordforitID,literal,0,58,0.0,highly_idiomatic,ccnews_very_rare,moderate_morphology
IDgowithoutsayingID,idiom,127,131,0.9694656488549618,highly_idiomatic,ccnews_moderately_rare,moderate_morphology
IDgowithoutsayingID,literal,4,131,0.030534351145038167,highly_idiomatic,ccnews_moderately_rare,moderate_morphology
IDlielowID,idiom,42,85,0.49411764705882355,ambiguous,ccnews_moderately_rare,moderate_morphology
IDlielowID,literal,43,85,0.5058823529411764,ambiguous,ccnews_moderately_rare,moderate_morphology
IDoutofpocketID,idiom,38,140,0.2714285714285714,ambiguous,ccnews_frequent,high_morphology
IDoutofpocketID,literal,102,140,0.7285714285714285,ambiguous,ccnews_frequent,high_morphology
IDbananarepublicID,idiom,11,11,1.0,highly_idiomatic,ccnews_frequent,moderate_morphology
IDbananarepublicID,literal,0,11,0.0,highly_idiomatic,ccnews_frequent,moderate_morphology
IDthrowdownthegauntletID,idiom,19,19,1.0,highly_idiomatic,ccnews_very_rare,moderate_morphology
IDthrowdownthegauntletID,literal,0,19,0.0,highly_idiomatic,ccnews_very_rare,moderate_morphology
IDhaveacowID,idiom,2,26,0.07692307692307693,highly_literal,ccnews_moderately_rare,moderate_morphology
IDhaveacowID,literal,24,26,0.9230769230769231,highly_literal,ccnews_moderately_rare,moderate_morphology
IDuphillanddowndaleID,idiom,5,5,1.0,highly_idiomatic,ccnews_very_rare,no_morphology
IDuphillanddowndaleID,literal,0,5,0.0,highly_idiomatic,ccnews_very_rare,no_morphology
IDslapandtickleID,idiom,5,5,1.0,highly_idiomatic,ccnews_very_rare,no_morphology
IDslapandtickleID,literal,0,5,0.0,highly_idiomatic,ccnews_very_rare,no_morphology
IDpickupthepiecesID,idiom,54,90,0.6,ambiguous,ccnews_frequent,high_morphology
IDpickupthepiecesID,literal,36,90,0.4,ambiguous,ccnews_frequent,high_morphology
IDputsomeoneouttopastureID,idiom,1,1,1.0,highly_idiomatic,ccnews_very_rare,moderate_morphology
IDputsomeoneouttopastureID,literal,0,1,0.0,highly_idiomatic,ccnews_very_rare,moderate_morphology
IDforcryingoutloudID,idiom,8,8,1.0,highly_idiomatic,ccnews_very_rare,no_morphology
IDforcryingoutloudID,literal,0,8,0.0,highly_idiomatic,ccnews_very_rare,no_morphology
IDhottotrotID,idiom,3,3,1.0,highly_idiomatic,ccnews_moderately_rare,no_morphology
IDhottotrotID,literal,0,3,0.0,highly_idiomatic,ccnews_moderately_rare,no_morphology
IDbyhookorbycrookID,idiom,14,14,1.0,highly_idiomatic,ccnews_moderately_rare,no_morphology
IDbyhookorbycrookID,literal,0,14,0.0,highly_idiomatic,ccnews_moderately_rare,no_morphology
IDnoholdsbarredID,idiom,26,26,1.0,highly_idiomatic,ccnews_very_rare,no_morphology
IDnoholdsbarredID,literal,0,26,0.0,highly_idiomatic,ccnews_very_rare,no_morphology
IDonthemoneyID,idiom,3,111,0.02702702702702703,highly_literal,ccnews_frequent,high_morphology
IDonthemoneyID,literal,108,111,0.972972972972973,highly_literal,ccnews_frequent,high_morphology
IDatthecoalfaceID,idiom,3,3,1.0,highly_idiomatic,ccnews_moderately_rare,no_morphology
IDatthecoalfaceID,literal,0,3,0.0,highly_idiomatic,ccnews_moderately_rare,no_morphology
IDbeatthemeatID,idiom,1,2,0.5,ambiguous,ccnews_very_rare,moderate_morphology
IDbeatthemeatID,literal,1,2,0.5,ambiguous,ccnews_very_rare,moderate_morphology
IDhomeanddryID,idiom,33,33,1.0,highly_idiomatic,ccnews_very_rare,no_morphology
IDhomeanddryID,literal,0,33,0.0,highly_idiomatic,ccnews_very_rare,no_morphology
IDstraightfromtheshoulderID,idiom,9,10,0.9,highly_idiomatic,ccnews_very_rare,no_morphology
IDstraightfromtheshoulderID,literal,1,10,0.1,highly_idiomatic,ccnews_very_rare,no_morphology
IDitneverrainsbutitpoursID,idiom,2,2,1.0,highly_idiomatic,ccnews_very_rare,moderate_morphology
IDitneverrainsbutitpoursID,literal,0,2,0.0,highly_idiomatic,ccnews_very_rare,moderate_morphology
IDsmellbloodID,idiom,5,10,0.5,ambiguous,ccnews_moderately_rare,moderate_morphology
IDsmellbloodID,literal,5,10,0.5,ambiguous,ccnews_moderately_rare,moderate_morphology
IDhardasnailsID,idiom,8,8,1.0,highly_idiomatic,ccnews_moderately_rare,no_morphology
IDhardasnailsID,literal,0,8,0.0,highly_idiomatic,ccnews_moderately_rare,no_morphology
IDinthepipelineID,idiom,130,136,0.9558823529411765,highly_idiomatic,ccnews_frequent,high_morphology
IDinthepipelineID,literal,6,136,0.04411764705882353,highly_idiomatic,ccnews_frequent,high_morphology
IDitsallgreektomeID,idiom,1,1,1.0,highly_idiomatic,ccnews_very_rare,no_morphology
IDitsallgreektomeID,literal,0,1,0.0,highly_idiomatic,ccnews_very_rare,no_morphology
IDinthecanID,idiom,19,62,0.3064516129032258,ambiguous,ccnews_frequent,high_morphology
IDinthecanID,literal,43,62,0.6935483870967742,ambiguous,ccnews_frequent,high_morphology
IDmeatandpotatoesID,idiom,3,9,0.3333333333333333,ambiguous,ccnews_moderately_rare,moderate_morphology
IDmeatandpotatoesID,literal,6,9,0.6666666666666666,ambiguous,ccnews_moderately_rare,moderate_morphology
IDsayuncleID,idiom,0,1,0.0,highly_literal,ccnews_very_rare,moderate_morphology
IDsayuncleID,literal,1,1,1.0,highly_literal,ccnews_very_rare,moderate_morphology
IDgothroughthemotionsID,idiom,59,61,0.9672131147540983,highly_idiomatic,ccnews_moderately_rare,moderate_morphology
IDgothroughthemotionsID,literal,2,61,0.03278688524590164,highly_idiomatic,ccnews_moderately_rare,moderate_morphology
IDblowhotandcoldID,idiom,9,9,1.0,highly_idiomatic,ccnews_very_rare,moderate_morphology
IDblowhotandcoldID,literal,0,9,0.0,highly_idiomatic,ccnews_very_rare,moderate_morphology
IDclearthedecksID,idiom,19,21,0.9047619047619048,highly_idiomatic,ccnews_moderately_rare,moderate_morphology
IDclearthedecksID,literal,2,21,0.09523809523809523,highly_idiomatic,ccnews_moderately_rare,moderate_morphology
IDmakethecutID,idiom,22,76,0.2894736842105263,ambiguous,ccnews_frequent,high_morphology
IDmakethecutID,literal,54,76,0.7105263157894737,ambiguous,ccnews_frequent,high_morphology
IDnotwowaysaboutitID,idiom,16,16,1.0,highly_idiomatic,ccnews_moderately_rare,no_morphology
IDnotwowaysaboutitID,literal,0,16,0.0,highly_idiomatic,ccnews_moderately_rare,no_morphology
IDshootfromthehipID,idiom,5,5,1.0,highly_idiomatic,ccnews_very_rare,moderate_morphology
IDshootfromthehipID,literal,0,5,0.0,highly_idiomatic,ccnews_very_rare,moderate_morphology
IDeverymanforhimselfID,idiom,13,13,1.0,highly_idiomatic,ccnews_very_rare,no_morphology
IDeverymanforhimselfID,literal,0,13,0.0,highly_idiomatic,ccnews_very_rare,no_morphology
IDanoldflameID,idiom,18,18,1.0,highly_idiomatic,ccnews_moderately_rare,moderate_morphology
IDanoldflameID,literal,0,18,0.0,highly_idiomatic,ccnews_moderately_rare,moderate_morphology
IDinthedrivingseatID,idiom,27,50,0.54,ambiguous,ccnews_very_rare,no_morphology
IDinthedrivingseatID,literal,23,50,0.46,ambiguous,ccnews_very_rare,no_morphology
IDpickupthetabID,idiom,24,24,1.0,highly_idiomatic,ccnews_moderately_rare,high_morphology
IDpickupthetabID,literal,0,24,0.0,highly_idiomatic,ccnews_moderately_rare,high_morphology
IDlikeabatoutofhellID,idiom,4,4,1.0,highly_idiomatic,ccnews_very_rare,no_morphology
IDlikeabatoutofhellID,literal,0,4,0.0,highly_idiomatic,ccnews_very_rare,no_morphology
IDgothedistanceID,idiom,14,21,0.6666666666666666,ambiguous,ccnews_frequent,high_morphology
IDgothedistanceID,literal,7,21,0.3333333333333333,ambiguous,ccnews_frequent,high_morphology
IDscarletwomanID,idiom,9,9,1.0,highly_idiomatic,ccnews_very_rare,no_morphology
IDscarletwomanID,literal,0,9,0.0,highly_idiomatic,ccnews_very_rare,no_morphology
IDmakeakillingID,idiom,30,32,0.9375,highly_idiomatic,ccnews_moderately_rare,high_morphology
IDmakeakillingID,literal,2,32,0.0625,highly_idiomatic,ccnews_moderately_rare,high_morphology
IDtakeitorleaveitID,idiom,33,34,0.9705882352941176,highly_idiomatic,ccnews_moderately_rare,no_morphology
IDtakeitorleaveitID,literal,1,34,0.029411764705882353,highly_idiomatic,ccnews_moderately_rare,no_morphology
IDspringtomindID,idiom,76,76,1.0,highly_idiomatic,ccnews_moderately_rare,moderate_morphology
IDspringtomindID,literal,0,76,0.0,highly_idiomatic,ccnews_moderately_rare,moderate_morphology
IDtakeadimviewofID,idiom,27,27,1.0,highly_idiomatic,ccnews_very_rare,moderate_morphology
IDtakeadimviewofID,literal,0,27,0.0,highly_idiomatic,ccnews_very_rare,moderate_morphology
IDdoanumberonID,idiom,3,4,0.75,ambiguous,ccnews_moderately_rare,moderate_morphology
IDdoanumberonID,literal,1,4,0.25,ambiguous,ccnews_moderately_rare,moderate_morphology
IDbattendownthehatchesID,idiom,12,12,1.0,highly_idiomatic,ccnews_very_rare,moderate_morphology
IDbattendownthehatchesID,literal,0,12,0.0,highly_idiomatic,ccnews_very_rare,moderate_morphology
IDkeepontruckingID,idiom,1,1,1.0,highly_idiomatic,ccnews_moderately_rare,no_morphology
IDkeepontruckingID,literal,0,1,0.0,highly_idiomatic,ccnews_moderately_rare,no_morphology
IDhotunderthecollarID,idiom,14,14,1.0,highly_idiomatic,ccnews_moderately_rare,no_morphology
IDhotunderthecollarID,literal,0,14,0.0,highly_idiomatic,ccnews_moderately_rare,no_morphology
IDkissandtellID,idiom,11,12,0.9166666666666666,highly_idiomatic,ccnews_moderately_rare,moderate_morphology
IDkissandtellID,literal,1,12,0.08333333333333333,highly_idiomatic,ccnews_moderately_rare,moderate_morphology
IDcatchfireID,idiom,96,109,0.8807339449541285,highly_idiomatic,ccnews_frequent,moderate_morphology
IDcatchfireID,literal,13,109,0.11926605504587157,highly_idiomatic,ccnews_frequent,moderate_morphology
IDreadmylipsID,idiom,2,2,1.0,highly_idiomatic,ccnews_moderately_rare,no_morphology
IDreadmylipsID,literal,0,2,0.0,highly_idiomatic,ccnews_moderately_rare,no_morphology
IDsourgrapesID,idiom,34,34,1.0,highly_idiomatic,ccnews_moderately_rare,no_morphology
